#F[MHz],F [Hz],A2[V],PM2[V]
0.90000000 ,900000.00 ,3.160 ,1.832 
1.00000000 ,1000000.00 ,3.250 ,1.687 
1.10000000 ,1100000.00 ,3.280 ,1.590 
1.20000000 ,1200000.00 ,3.320 ,1.475 
1.30000000 ,1300000.00 ,3.260 ,1.349 
1.40000000 ,1400000.00 ,3.280 ,1.234 
1.50000000 ,1500000.00 ,3.220 ,1.139 
1.60000000 ,1600000.00 ,3.260 ,1.071 
1.70000000 ,1700000.00 ,3.050 ,1.002 
1.80000000 ,1800000.00 ,2.990 ,0.930 
1.90000000 ,1900000.00 ,2.880 ,0.862 
2.00000000 ,2000000.00 ,2.790 ,0.800 
2.10000000 ,2100000.00 ,2.820 ,0.745 
2.20000000 ,2200000.00 ,2.660 ,0.695 
2.30000000 ,2300000.00 ,2.480 ,0.641 
2.40000000 ,2400000.00 ,2.310 ,0.549 
2.50000000 ,2500000.00 ,2.180 ,0.539 
2.60000000 ,2600000.00 ,2.110 ,0.483 
2.70000000 ,2700000.00 ,2.120 ,0.429 
2.80000000 ,2800000.00 ,2.110 ,0.379 
2.90000000 ,2900000.00 ,2.220 ,0.330 
3.00000000 ,3000000.00 ,2.320 ,0.286 
3.10000000 ,3100000.00 ,2.530 ,0.243 
3.20000000 ,3200000.00 ,2.700 ,0.213 
3.30000000 ,3300000.00 ,2.840 ,0.184 
3.40000000 ,3400000.00 ,3.060 ,0.162 
3.50000000 ,3500000.00 ,3.400 ,0.154 
3.60000000 ,3600000.00 ,3.640 ,0.169 
3.70000000 ,3700000.00 ,3.420 ,0.184 
3.80000000 ,3800000.00 ,3.260 ,0.190 
3.90000000 ,3900000.00 ,3.180 ,0.193 
4.00000000 ,4000000.00 ,3.160 ,0.197 
