#F[MHz],F [Hz],A2[V],PM2[V]
0.8,800000,2.22,3.578
0.9,900000,2.335,3.387
1,1000000,2.465,3.233
1.1,1100000,2.57,3.11
1.2,1200000,2.688,3.011
1.3,1300000,2.75,2.931
1.4,1400000,2.8,2.862
1.5,1500000,2.82,2.798
1.6,1600000,2.81,2.772
1.7,1700000,2.79,2.735
1.8,1800000,2.756,2.695
1.9,1900000,2.7,2.66
2,2000000,2.62,2.63
2.1,2100000,2.52,2.6
2.2,2200000,2.39,2.566
2.3,2300000,2.27,2.529
2.4,2400000,2.17,2.489
2.5,2500000,2.09,2.445
2.6,2600000,2.05,2.4
2.7,2700000,2.04,2.353
2.8,2800000,2.07,2.311
2.9,2900000,2.15,2.273
3,3000000,2.27,2.243
3.1,3100000,2.42,2.222
3.2,3200000,2.55,2.207
3.3,3300000,2.69,2.199
3.4,3400000,2.81,2.197
3.5,3500000,2.91,2.203
3.6,3600000,2.94,2.213
3.7,3700000,2.94,2.223
3.8,3800000,2.97,2.234
3.9,3900000,3.03,2.248
4,4000000,3.09,2.264
4.1,4100000,3.13,2.284
4.2,4200000,3.11,2.307
4.3,4300000,3.07,2.33
4.4,4400000,2.99,2.35
4.5,4500000,2.92,2.366
4.6,4600000,2.861,2.381
4.7,4700000,2.78,2.392
4.8,4800000,2.67,2.394
4.9,4900000,2.62,2.389
5,5000000,2.59,2.376
