#F[MHz],F [Hz],A2[V],PM2[V]
0.90000000 ,900000.00 ,3.390 ,0.978 
1.00000000 ,1000000.00 ,3.240 ,0.830 
1.10000000 ,1100000.00 ,3.190 ,0.686 
1.20000000 ,1200000.00 ,3.310 ,0.546 
1.30000000 ,1300000.00 ,3.050 ,0.423 
1.40000000 ,1400000.00 ,2.940 ,0.278 
1.50000000 ,1500000.00 ,3.060 ,0.150 
1.60000000 ,1600000.00 ,2.620 ,0.072 
1.70000000 ,1700000.00 ,3.010 ,-0.064 
1.80000000 ,1800000.00 ,2.870 ,-0.173 
1.90000000 ,1900000.00 ,2.760 ,-0.238 
2.00000000 ,2000000.00 ,2.980 ,-0.343 
2.10000000 ,2100000.00 ,2.880 ,-0.443 
2.20000000 ,2200000.00 ,2.870 ,-0.516 
2.30000000 ,2300000.00 ,2.890 ,-0.579 
2.40000000 ,2400000.00 ,3.070 ,-0.629 
2.50000000 ,2500000.00 ,2.810 ,-0.658 
2.60000000 ,2600000.00 ,2.770 ,-0.694 
2.70000000 ,2700000.00 ,2.710 ,-0.730 
2.80000000 ,2800000.00 ,2.850 ,-0.772 
2.90000000 ,2900000.00 ,2.690 ,-0.785 
3.00000000 ,3000000.00 ,2.680 ,-0.823 
3.10000000 ,3100000.00 ,2.500 ,-0.856 
3.20000000 ,3200000.00 ,2.910 ,-0.879 
3.30000000 ,3300000.00 ,2.910 ,-0.923 
3.40000000 ,3400000.00 ,2.860 ,-0.954 
3.50000000 ,3500000.00 ,2.420 ,-0.963 
3.60000000 ,3600000.00 ,3.060 ,-0.991 
3.70000000 ,3700000.00 ,2.750 ,-0.973 
3.80000000 ,3800000.00 ,2.750 ,-0.978 
3.90000000 ,3900000.00 ,2.810 ,-0.985 
4.00000000 ,4000000.00 ,2.880 ,-1.006 
3.60000000 ,3600000.00 ,3.060 ,-0.991 
